제1학기 시작	2022-3-01	2022-3-01
제1학기 개강, 입학식	2022-3-02	2022-3-02
제2학기 개설교과목 수요조사	2022-3-02	2022-3-08
제1학기 수강신청 변경	2022-3-02	2022-3-08
하계 계절수업 개설교과목 수요조사	2022-3-09	2022-3-15
수업일수 1/4선	2022-3-28	2022-3-28
제2학기 복수전공, 연합전공 신청	2022-4-04	2022-4-08
제1학기 수강신청 취소 마감, 수업일수 2/4선	2022-4-21	2022-4-21
제1학기 자율학습일	2022-4-21	2022-4-22
제2학기 부전공, 연계전공, 학생설계전공 신청	2022-4-25	2022-4-29
하계 계절수업 수강신청	2022-5-10	2022-5-17
수업일수 3/4선	2022-5-18	2022-5-18
제2학기 장학생 선정 신청서 제출	2022-5-30	2022-06-17
제1학기 종강	2022-6-14	2022-6-14
제1학기 보강기간	2022-6-15	2022-6-21
제2학기 복학(귀) 신청	2022-6-15	2022-08-31
제2학기 복적 및 재입학 신청	2022-6-20	2022-07-22
하계휴가 시작, 하계 계절수업 개강	2022-6-22	2022-6-22
제1학기 성적 제출 마감	2022-6-28	2022-6-28
하계 계절수업 수강신청 취소 마감(1/2선)	2022-7-12	2022-7-12
2022학년도 대학원 후기모집 신입생 등록	2022-8-01	2022-8-05
하계 계절수업 종강	2022-8-02	2022-8-02
하계 계절수업 성적 제출 마감	2022-8-09	2022-8-09
제2학기 수강신청	2022-8-09	2022-8-17
제2학기 재학생 등록	2022-8-22	2022-8-26
후기 학위수여식	2022-8-29	2022-8-29
제1학기 종료, 하계휴가 종료	2022-8-31	2022-8-31
제2학기 개강	2022-9-01	2022-9-01
제2학기 시작	2022-9-01	2022-9-01
제2학기 수강신청 변경	2022-9-01	2022-9-07
2023학년도 제1학기 개설교과목 수요조사	2022-9-01	2022-9-07
동계 계절수업 개설교과목 수요조사	2022-9-08	2022-9-14
수업일수 1/4선	2022-9-28	2022-9-28
2023학년도 제1학기 복수전공, 연합전공 신청	2022-9-30	2022-10-07
2023학년도 제1학기 부전공, 연계전공, 학생설계전공 신청	2022-10-24	2022-10-28
제2학기 수강신청 취소 마감, 수업일수 2/4선	2022-10-25	2022-10-25
제2학기 자율학습일	2022-10-27	2022-10-28
동계 계절수업 수강신청	2022-11-01	2022-11-08
수업일수 3/4선	2022-11-21	2022-11-21
2023학년도 제1학기 장학생 선정 신청서 제출	2022-11-28	2022-12-16
2023학년도 제1학기 복적 및 재입학 신청	2022-12-12	2023-01-13
제2학기 종강	2022-12-14	2022-12-14
제2학기 보강기간	2022-12-15	2022-12-21
2023학년도 제1학기 복학(귀) 신청	2022-12-15	2023-02-28
동계휴가 시작, 동계 계절수업 개강	2022-12-22	2022-12-22
제2학기 성적 제출 마감	2022-12-28	2022-12-28
동계 계절수업 수강신청 취소 마감(1/2선)	2023-1-09	2023-1-09
2023학년도 전과 신청	2023-1-09	2023-1-13
동계 계절수업 종강	2023-1-25	2023-1-25
2023학년도 제1학기 수강신청	2023-1-31	2023-02-07
동계 계절수업 성적 제출 마감	2023-2-01	2023-2-01
2023학년도 대학원 전기모집 신입생 등록	2023-2-06	2023-2-10
2023학년도 학부 신입생 등록	2023-2-07	2023-2-09
2023학년도 제1학기 재학생 등록	2023-2-20	2023-2-24
전기 학위수여식	2023-2-24	2023-2-24
제2학기 종료, 동계휴가 종료	2023-2-28	2023-2-28
